Match Id,Round,W_name,W_seed,W_Wc,W_country,W_set1,W_set2,W_set3,W_set4,W_set5,L_name,L_seed,L_Wc,L_country,L_set1,L_set2,L_set3,L_set4,L_set5
2004_W_128_1,R128,Miss Roberta Vinci,1,,ITA,6,6,6,,,Miss Lioudmila Skavronskaia,,,RUS,3,7,3,,
2004_W_128_2,R128,Miss Lilia Osterloh,,,USA,7,6,,,,Miss Abigail Spears,,,USA,6,3,,,
2004_W_128_3,R128,Miss Nuria Llagostera Vives,,,ESP,3,6,6,,,Miss Sybille Bammer,,,AUT,6,4,0,,
2004_W_128_4,R128,Miss Meilen Tu,,,USA,7,6,,,,Miss Kelly Mc Cain,18,,USA,6,0,,,
2004_W_128_5,R128,Miss Natalie Grandin,,,RSA,6,6,,,,Miss Yuliana Fedak,2,,UKR,3,4,,,
2004_W_128_6,R128,Miss Eugenia Linetskaya,,,RUS,6,6,,,,Miss Zsofia Gubacsi,,,HUN,0,1,,,
2004_W_128_7,R128,Miss Alyona Bondarenko,,,UKR,6,6,,,,Miss Angelika Bachmann,,,GER,0,1,,,
2004_W_128_8,R128,Miss Angelique Widjaja,21,,INA,6,6,,,,Miss Alena Vaskova,,,CZE,2,1,,,
2004_W_128_9,R128,Miss Sofia Arvidsson,3,,SWE,6,6,,,,Miss Stanislava Hrozenska,,,SVK,4,2,,,
2004_W_128_10,R128,Miss Libuse Prusova,,,CZE,6,6,,,,Miss Virag Nemeth,,,HUN,4,2,,,
2004_W_128_11,R128,Miss Evie Dominikovic,,,AUS,7,1,6,,,Miss Ting Li,,,CHN,6,6,4,,
2004_W_128_12,R128,Miss Tatiana Panova,14,,RUS,6,6,,,,Miss Miho Saeki,,,JPN,3,1,,,
2004_W_128_13,R128,Miss TianTian Sun,4,,CHN,6,6,,,,Miss Alexandra Kravets,,,UKR,0,2,,,
2004_W_128_14,R128,Miss Natalia Gussoni,,,ARG,3,6,6,,,Miss Patricia Wartusch,,,AUT,6,4,3,,
2004_W_128_15,R128,Miss Barbara Schwartz,,1,AUT,6,7,7,,,Miss Nina Duebbers,,,GER,7,6,5,,
2004_W_128_16,R128,Miss Marie-Eve Pelletier,,,CAN,4,6,6,,,Miss Mariana Diaz-Oliva,17,,ARG,6,2,0,,
2004_W_128_17,R128,Miss Mashona Washington,5,,USA,6,6,,,,Miss Michaela Pastikova,,,CZE,2,4,,,
2004_W_128_18,R128,Miss Marta Domachowska,,,POL,6,6,6,,,Miss Ansley Cargill,,,USA,4,7,2,,
2004_W_128_19,R128,Miss Vilmarie Castellvi,,,PUR,6,6,6,,,Miss Yan-Ze Xie,,,CHN,3,7,3,,
2004_W_128_20,R128,Miss Adriana Serra-Zanett,20,,ITA,6,6,,,,Miss Jessica Lehnhoff,,,USA,4,1,,,
2004_W_128_21,R128,Miss Eva Birnerova,6,,CZE,6,6,6,,,Miss Holly Bagshaw,,1,GBR,1,7,4,,
2004_W_128_22,R128,Miss Bethanie Mattek,,,USA,6,6,,,,Miss Melanie South,,1,GBR,2,2,,,
2004_W_128_23,R128,Miss Galina Voskoboeva,,,RUS,6,6,,,,Miss Adriana Barna,,,GER,2,4,,,
2004_W_128_24,R128,Miss Alexandra Stevenson,15,,USA,5,6,6,,,Miss Cristelle Grier,,1,GBR,7,4,4,,
2004_W_128_25,R128,Miss Virginie Razzano,7,,FRA,7,6,6,,,Miss Kyra Nagy,,,HUN,6,7,2,,
2004_W_128_26,R128,Miss Tatiana Poutchek,,,BLR,6,7,,,,Miss Janet Lee,,,TPE,0,5,,,
2004_W_128_27,R128,Miss Maret Ani,,,EST,6,6,,,,Miss Nicole Vaidisova,,,CZE,2,4,,,
2004_W_128_28,R128,Miss Yoon-Jeong Cho,,,KOR,6,3,8,,,Miss Yuka Yoshida,22,,JPN,4,6,6,,
2004_W_128_29,R128,Miss Jennifer Hopkins,,,USA,4,6,6,,,Miss Camille Pin,8,,FRA,6,2,2,,
2004_W_128_30,R128,Miss Capucine Rousseau,,,FRA,6,2,,,,Miss Chantal Coombs,,1,GBR,0,1,,,
2004_W_128_31,R128,Miss Jarmila Gajdosova,,,SVK,3,6,6,,,Miss Zuzana Kucova,,,SVK,6,2,4,,
